"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"15653 - POCO - TWOM - Two Mile Run","POCO",15653,"15653S","TWOM","Two Mile Run","P","+","Blakeslee","Monroe","PA","5","41 07 05","-075 35 36","01S","web-topozone","NAD83",41.11806,-75.59333,"x",472,24,28,"boreal bog",,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,"01-19,21-",21
"15654 - BRUN - GOCO - Golf Course","BRUN",15654,"15654U","GOCO","Golf Course","DN","+","Brunswick","Cumberland","ME","5","43 52 08","-069 56 20","01S","GPS -GPSMAP 76","NAD83",43.86889,-69.93889,"x",13,27,14,"balsam fir/deciduous forest/boggy areas",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15655 - BRUN - CHRO - Chimney Rock","BRUN",15655,"15655U","CHRO","Chimney Rock","DN","+","Brunswick","Cumberland","ME","5","43 52 24","-069 55 05","01S","GPS -GPSMAP 76","NAD83",43.87333,-69.91806,"x",18,27,14,"maple-oak deciduous forest/riparian",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15656 - BRUN - REPO - Redington Pond","BRUN",15656,"15656U","REPO","Redington Pond","DN","+","Dallas","Franklin","ME","5","44 58 57","-070 24 53","01S","GPS -GPSMAP 76","NAD83",44.9825,-70.41472,"x",507,28,14,"mixed deciduous-evergreen forest/pond",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15657 - BRUN - PONU - Potato Nubble","BRUN",15657,"15657U","PONU","Potato Nubble","DN","+","Dallas","Franklin","ME","5","44 59 30","-070 30 33","01S","GPS -GPSMAP 76","NAD83",44.99167,-70.50917,"x",488,28,14,"mixed deciduous-evergreen for./shrubland",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15658 - BRUN - BLUE - Blueline Trail","BRUN",15658,"15658U","BLUE","Blueline Trail","DN","+","Dallas","Franklin","ME","5","44 59 20","-070 26 12","01S","GPS -GPSMAP 76","NAD83",44.98889,-70.43667,"x",515,28,14,"balsam-red spruce forest/riparian/alder",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15659 - BRUN - HGHL - Highland","BRUN",15659,"15659U","HGHL","Highland","DN","+","Dallas","Franklin","ME","5","45 00 31","-070 27 10","01S","GPS -GPSMAP 76","NAD83",45.00861,-70.45278,"x",724,28,14,"stunted balsam-red spruce forest/boggy",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-08",6
"15660 - PAGR - PAGR - Pardon Gray","PAGR",15660,"15660U","PAGR","Pardon Gray","P","+","Tiverton","Newport","RI","5","41 35 17","-071 11 22","01S","-","-",41.58806,-71.18944,"-",65,12,30,"Oak-holly forest/red maple swamp/grassl.",,,,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"03",1
"15661 - BMAC - BAAR - Buffalo Audubon Arboretum","BMAC",15661,"15560S","BAAR","Buffalo Audubon Arboretum","P","+","North Java","Wyoming","NY","5","42 40 34","-078 23 03","01S","-","-",42.67611,-78.38417,"-",442,24,28,"successional hardwood for./manage meadow",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","03-",20
"15662 - ALMS - ALMS - Alliance Middle School LL","ALMS",15662,"15662U","ALMS","Alliance Middle School LL","C","+","Alliance","Stark","OH","5","40 53 21","-081 06 24","01S","-","-",40.88917,-81.10667,"-",371,24,13,"mixed deciduous hardwood for./grassland",,,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,"04-12",9
